"Marca temporal","¿Cuál fue tu nota en el examen parcial?","Califica del 1 a 5 tu desempeño en el curso ","Califica del 1 al 5 la dificultad del curso:","¿Cuántas inasistencias tienes acumuladas en el curso?","Califica del 1 al 5 tu nivel de ansiedad durante las evaluaciones del curso:","Califica del 1 al 5 tu nivel de participación en los talleres grupales:","¿Lees libros o visitas páginas web adicionales al material del curso?","¿Cuál es tu modalidad de estudio preferida?","¿Tienes un horario personal de estudio?","Califica del 1 al 5 tu conexión a internet","¿Cuál es el principal dispositivo que utilizas para estudiar?","¿Consideras que existen distracciones en tu ambiente de estudio?","¿Cuántas horas sueles dormir diariamente? ","¿Con qué frecuencia sueles realizar ejercicios / deportes?","¿Te preparaste en alguna academia o el centro Pre para ingresar a la universidad?","¿Cuántos cursos estás llevando este ciclo?","Al momento de postular, ¿Estadística fue tu primera opción?","¿Consideras la posibilidad de cambiarte de carrera en los próximos ciclos?"
"2020/10/02 11:04:52 a. m. GMT-5","17","5","3","0","2","4","No","Grupal (3 a más personas)","No","4","Computadora de escritorio","Sí","7","Diariamente","Sí","4","No","No, me gusta la carrera que elegí ."
"2020/10/02 11:08:13 a. m. GMT-5","17","3","3","0","4","4","No","Grupal (3 a más personas)","Sí","3","Laptop","Sí","5 ","Nunca","Sí","6","Sí","No"
"2020/10/02 11:12:00 a. m. GMT-5","14.75","3","3","1","3","4","Sí","En pares","No","3","Laptop","Sí","7","Una o dos veces por semana","Sí","7","Sí","no"
"2020/10/02 11:27:05 a. m. GMT-5","11.5","3","3","0","5","4","Sí","Individual","No","2","Laptop","Sí","4","Nunca","Sí","6","No","No"
"2020/10/02 12:49:18 p. m. GMT-5","16","4","4","0","4","5","Sí","En pares","Sí","3","Tablet","Sí","6","Una o dos veces por semana","Sí","6","No","No"
"2020/10/02 12:52:07 p. m. GMT-5","11.5","4","4","0","5","4","No","Grupal (3 a más personas)","Sí","4","Computadora de escritorio","Sí","5","Nunca","Sí","6","No","No"
"2020/10/02 3:07:48 p. m. GMT-5","10.5","3","3","0","4","4","No","En pares","No","3","Laptop","Sí","5 ","Nunca","Sí","7","Sí","no"
"2020/10/02 3:59:26 p. m. GMT-5","13","3","3","1","3","3","No","En pares","No","4","Laptop","Sí","6","Interdiario","Sí","6","No","Sí"
"2020/10/02 4:38:56 p. m. GMT-5","17.75","4","4","0","2","5","Sí","Grupal (3 a más personas)","No","3","Laptop","Sí","6","Diariamente","Sí","7","Sí","No"
"2020/10/02 5:00:03 p. m. GMT-5","19","4","4","0","2","4","Sí","En pares","No","3","Laptop","Sí","7","Nunca","Sí","6","No","si"
"2020/10/03 10:41:56 a. m. GMT-5","13.25","3","3","0","4","3","Sí","Grupal (3 a más personas)","No","3","Computadora de escritorio","No","6","Una o dos veces por semana","Sí","8","Sí","No"
"2020/10/04 8:29:31 p. m. GMT-5","17","3","3","0","3","3","No","Grupal (3 a más personas)","No","1","Teléfono","Sí","7","Interdiario","Sí","6","Sí","No"
"2020/10/05 12:01:14 a. m. GMT-5","12.75","3","3","1","3","4","No","Grupal (3 a más personas)","Sí","4","Computadora de escritorio","Sí","4","Nunca","Sí","7","No","No"
"2020/10/05 9:19:59 p. m. GMT-5","18","5","4","0","4","5","Sí","Individual","Sí","2","Laptop","Sí","8","Nunca","Sí","6","No","No"
"2020/10/05 10:24:51 p. m. GMT-5","20","4","3","0","3","5","Sí","Individual","No","4","Laptop","Sí","6","Una o dos veces por semana","Sí","7","Sí","no"
"2020/10/05 11:55:02 p. m. GMT-5","16.25","4","4","1","4","4","No","En pares","No","3","Laptop","Sí","7","Una o dos veces por semana","Sí","6","Sí","No"
"2020/10/06 8:26:07 p. m. GMT-5","17.25","4","3","1","5","4","No","Grupal (3 a más personas)","No","4","Laptop","No","6","Nunca","Sí","7","No","Lo estaba considerando pero me esta empezando a gustar mucho la carrera "